,country,co2_gdp_2019_1,co2_gdp_2019_1_ci,co2_gdp_2020_1,co2_gdp_2020_1_ci,co2_gdp_2021_1,co2_gdp_2021_1_ci,co2_gdp_2019_2,co2_gdp_2019_2_ci,co2_gdp_2020_2,co2_gdp_2020_2_ci,co2_gdp_2021_2,co2_gdp_2021_2_ci,co2,gdp,co2_2019_1,co2_2019_1_ci,co2_2020_1,co2_2020_1_ci,co2_2021_1,co2_2021_1_ci,co2_2019_2,co2_2019_2_ci,co2_2020_2,co2_2020_2_ci,co2_2021_2,co2_2021_2_ci,imf region,gdp_2019,gdp_2020,gdp_2021,co2_change_2020_1,co2_change_2020_2,co2_change_2021_1,co2_change_2021_2
0,Afghanistan,0.2934188905053109,0.16541951352704087,0.30692713906470326,0.16005767436702584,0.1754589084001088,0.2503526288933528,0.3996281519080327,0.1474141005774791,0.3802039082707367,0.16883183910456268,0.3607796646334407,0.19080445893510328,9.438789182123974,20958745169.393024,6.487924800456121,3.6576696287114134,6.854478237519064,3.574502564484562,4.251520445752886,6.066259787510535,8.836368351265518,3.2595433696394838,8.490938347788358,3.7704523961909557,8.742001956966417,4.623356349929882,Emerging Developing Asia,22111476153.70964,22332590915.24674,24230861143.04271,5.65,-3.91,-37.97,2.96
1,Albania,0.34487775681509064,0.043294313644300975,0.46909000004053786,0.15696371709663254,0.29190510129423103,0.05164662585773078,0.3245031143203896,0.047431058545611526,0.3153284505305507,0.05432229897659202,0.3061537867407118,0.06139207461883617,4.56996359223461,14559473464.472574,5.1266845583616965,0.6435796012907548,6.61052456626884,2.211968935152089,4.2863650224097425,0.7583844530997749,4.823810966210237,0.7050732342906962,4.4436813159426904,0.7655223770490301,4.495594209026637,0.9014876414718859,Emerging Developing Europe,14865222407.226498,14092230842.050718,14684104537.416851,28.94,-7.88,-35.16,1.17
2,Algeria,0.7675076936956015,0.04533775159813602,0.7575529299460484,0.11187191241961703,0.7821315613439827,0.06410843218849371,0.7709823501209989,0.03638916668039083,0.7735367370828392,0.04167613484782984,0.7760911240446804,0.04710007544978978,155.72526106287827,201192098290.19284,156.2694811486665,9.231056544297992,149.92383393411126,22.140058280395795,160.97960154275955,13.194902723911332,156.97694344673445,7.409067353052915,153.08711606540967,8.247933144931084,159.73634882461738,9.694214826866483,Middle East Central Asia,203606403469.67514,197905424172.52426,205821641139.42526,-4.06,-2.48,7.37,4.34
3,Andorra,0.13934481523619816,0.008318753580830757,0.14391596726060674,0.02521180439122818,0.1358929121197175,0.009717856115587897,0.13792086749004007,0.006633798568347227,0.1363494626114159,0.0075976206357185605,0.13477805773279172,0.008586412979217167,0.4709091669166387,3432140710.3921704,0.4882942844304697,0.02915070661380417,0.47808833244084586,0.08375352470376232,0.47039607415196194,0.03363855623256537,0.48330446443179903,0.023246260863716096,0.4529524308519209,0.02523926878573051,0.4665369830582412,0.02972204284586203,Emerging Developing Europe,3504215665.3104057,3321996450.714264,3461520301.6442637,-2.09,-6.28,-1.61,3.0
4,Angola,0.36610248356725533,0.059703750236371034,0.3479342195571494,0.054057971149148676,0.3749603676610242,0.0827293255347808,0.3462014789098289,0.04765020163396744,0.34542455892642,0.054573281280929364,0.34464763894301087,0.061675721015473584,34.53720114999699,99503815532.23555,37.55788040448332,6.124914229555706,35.12292222809896,5.456991033813799,39.4030276945403,8.693681216316053,35.5162675053581,4.888359556537389,34.8695794690446,5.509010055411966,36.2175889330423,6.481245360444152,Sub-Saharan Africa,102588433813.73485,100947018872.71507,105085846646.49641,-6.48,-1.82,12.19,3.87
5,Antigua and Barbuda,0.3673882736795141,0.05209544400221078,0.33390825108274347,0.08175424730080544,0.3611467525781736,0.05470858486612756,0.40936816589616143,0.031964759344676685,0.4051283068967848,0.03660890705535241,0.40088844789740996,0.04137337329228208,0.5658354780748239,1457277455.932118,0.5359220354557819,0.07599343361729702,0.4617552183110545,0.11305635661241768,0.5203985697086713,0.07883296502563894,0.597159562336092,0.04662810470047012,0.5602440466460836,0.05062574469082049,0.577664822981852,0.05961743842806955,Latin America,1458734733.38805,1382880527.251871,1440961509.39645,-13.84,-6.18,12.7,3.11
6,Argentina,0.4325043162829554,0.01770736197447298,0.43941622423087,0.021510886591196987,0.4236469556074372,0.02516200438604732,0.43397470602945987,0.020015643478675793,0.433226479376728,0.0229237086963473,0.4324782527239961,0.0259071147823548,195.5314118681043,446880911357.6427,193.4712009496679,7.920995138949044,186.34180881981155,9.122051703342361,187.20007899856475,11.118524862468293,194.1289471487467,8.953553608159456,183.716943854316,9.721182577663475,191.1024309357082,11.447772419201975,Latin America,447327792269.00024,424066747071.01227,441877550447.99475,-3.68,-5.36,0.46,4.02
7,Armenia,0.4002896996574307,0.07183466613175488,0.363970602719601,0.11034840189936124,0.3809285506609562,0.08842416861786251,0.41973953574098744,0.06354493371317976,0.4101324315109771,0.07277735293005527,0.40052532728097034,0.0822489615834075,5.571094245476391,13007610290.805147,5.316155477315211,0.9540196866026178,4.582451785572792,1.3893051459114452,4.997385353875951,1.1600328838907787,5.574464278958049,0.8439256561037057,5.16363706039926,0.9162792500044757,5.254474627688882,1.0790206070803594,Emerging Developing Europe,13280770106.912054,12590170061.352625,13118957203.92944,-13.8,-7.37,9.05,1.76
8,Australia,0.282895910450546,0.017756227288474313,0.2846190874172065,0.08485033787490565,0.26365849694902543,0.02401562861415235,0.28123800615186667,0.011491247544022754,0.2736150174828147,0.013160806523015434,0.2659920288137645,0.014873619698116625,420.2208560534102,1420623874171.9475,408.7207919246131,25.653744048050942,392.2947159052158,116.95048105577398,379.7576217375204,34.5906470399294,406.3254941035444,16.60226119534447,377.12764286072405,18.139735120652098,383.1186987422694,21.423054855224855,Other Advanced,1444774480032.8704,1378314853951.3582,1440339022379.1692,-4.02,-7.19,-3.2,1.59
9,Austria,0.14958536761779784,0.007969719644276507,0.13464355235811196,0.024322245920279068,0.14811575107818892,0.009385871030348325,0.15197083423175606,0.007403823869898296,0.14933122429042545,0.008479522620059632,0.14669161434909483,0.009583090097997182,68.8698857443731,442527642505.4337,66.99000800623527,3.5691431005582577,55.77610854954267,10.075493440710789,64.24074609157913,4.070838876485327,68.05831054218902,3.3157134833436084,61.8604785003436,3.5126433150458545,63.623069677372975,4.156376707249592,EU,447837974215.49884,414250126149.3365,433719882078.3552,-16.74,-9.11,15.18,2.85
